incorrect	correct
가강뛰아	가르강튀아
가강투아	가르강튀아
가강튀아	가르강튀아
가게수리경대	가께수리경대
가나사와	가나자와
가나짜와	가나자와
가네띵	가네팅
가네쉬히말	가네시히말산
가네스히말	가네시히말산
가네시히멀	가네시히말산
가네호	가네포
가노필라이트	개노필라이트
가노힐라이트	개노필라이트
가는 데스미아	가는데스미아
가는 데스미어	가는데스미아
가는 소리에리아	가는솔리에리아
가는 솔리에리아	가는솔리에리아
가는 솔리에리어	가는솔리에리아
가는데스미어	가는데스미아
가는소리에리아	가는솔리에리아
가는솔리에리어	가는솔리에리아
가니메드	가니메데
가니에라이트	가니어라이트
가도린석	가돌린석
가돌리나잇	가돌리나이트
가돌리니움	가돌리늄
가돌리니트	가돌리나이트
가드휀스	가드펜스
가디건	카디건
가라오게	가라오케
가라오께	가라오케
가론느강	가론강
가르강뛰아	가르강튀아
가르강투아	가르강튀아
가르네띵	가네팅
가르네트	가넷
가르네팅	가네팅
가르넷	가닛
가르넷	가넷
가르넷페이퍼	가닛페이퍼
가르덴골프	가든골프
가르덴파티	가든파티
가르바지	가비지
가르볼로지	가볼러지
가르터뜨기	가터뜨기
가르터벨트	가터벨트
가르프	가프
가리시스템	게리시스템
가리얼	가리알
가마리엘	가말리엘
가메메이커	게임메이커
가메포인트	게임포인트
가멜란	가믈란
가모우 장벽	가모 장벽
가버너	거버너
가버딘	개버딘
가보떼	가보트
가보론	가보로네
가보론느	가보로네
가보테	가보트
가볼러쥐	가볼러지
가볼로지	가볼러지
가부기	가부키
가부끼	가부키
가브리얼	가브리엘
가블레	게이블
가비얼	가비알
가비쥐	가비지
가세트	거싯
가소젠	가소겐
가소진	가소겐
가소홀	가소올
가스라이타	가스라이터
가스보일라	가스보일러
가스싸이클론	가스사이클론
가스오븐렌지	가스오븐레인지
가스지찌미	가스지지미
가스카봉	가스카본
가스케트	개스킷
가스코그네	가스코뉴
가스코크스	가스코크스
가스콕네	가스코뉴
가스콕느	가스코뉴
가스콕스	가스코크스
가스크로마토그라피	가스크로마토그래피
가스테리어	가스테리아
가스파쵸	가스파초
가스파킹	가스패킹
가스포킷	가스포켓
가아드	가드
가아드레일	가드레일
가아드펜스	가드펜스
가아든골프	가든골프
가아든파티	가든파티
가아터뜨기	가터뜨기
가알릭	갈릭
가에아	가이아
가우리쌍카르산	가우리상카르산
가우셰병	고셰병
가우쓰	가우스
가우쓰곡선	가우스 곡선
가우즈	거즈
가우지	게이지
가우지글라스	게이지글라스
가우징	게이징
가우쵸	가우초
가울리즘	골리즘
가이라르드	가야르드
가이세릭	가이세리크
가이쎄리크	가이세리크
가이쎄릭	가이세리크
가이아	가야
가이야	가야
가일라드	가야르드
가제뜨	가제트
가젤르	가젤
가젯트	거싯
가즈파초	가스파초
가즈파쵸	가스파초
가케수리경대	가께수리경대
가테웨이	게이트웨이
가테펄스	게이트펄스
가트어	고트어
가피쉬	가피시
가하나	가나
가휘시	가피시
간글리오시데	강글리오시드
간글리오시드	강글리오시드
